"X","Y","juos","elev","slp","asp","point.ID","poly.ID","mukey","taxorder","taxsuborde","taxgrtgrou","taxsubgrp","subord","grtgrp","c_order","c_sbord","c_ggrp","phmin","phave","phmax","frag3to10","sieveno4","sieveno10","sieveno40","sieveno200","sand","silt","clay","omr","dryweight","ksat","awc","wsat","minalogy","reaction","ph_ave","frag_3to10","sieve_4","sieve_10","sieve_40","sieve_200","sand_txt","silt_txt","clay_txt","orgmat","dwieght","ksat_txt","awc_txt","wsat_txt","minerals","calcereous"
-110.113048,40.694341,0,3444,8.2495813369751,184.005767822266,35,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-109.876435,40.692113,0,3078,3.03167462348938,219.412750244141,36,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.698908,40.690295,0,2813,2.03946971893311,80.3947982788086,37,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-108.989115,40.68022,1,2239,7.18488502502441,277.262054443359,38,709,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-108.870871,40.678118,1,2021,9.76615715026855,26.364013671875,39,709,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-108.693499,40.674737,1,1896,3.94997882843018,22.9043159484863,40,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
-107.898732,40.661384,0,2088,0.124761864542961,7.12501621246338,41,704,"659487","Aridisols","Argids","Haplargids","Ustic Haplargids","Arg","Hap",103,104,120,660,737,900,1,95,89,61,29,72,15,13,57,145,2822,10,42,"mixed",NA,"737","1","95","89","61","29","72","15","13","57","145","2822","10","42","mixed",NA
-110.823301,40.652569,0,3228,3.00211715698242,61.7192306518555,42,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-108.04347,40.659884,0,2004,1.24598383903503,245.026092529297,43,704,"659487","Aridisols","Argids","Haplargids","Ustic Haplargids","Arg","Hap",103,104,120,660,737,900,1,95,89,61,29,72,15,13,57,145,2822,10,42,"mixed",NA,"737","1","95","89","61","29","72","15","13","57","145","2822","10","42","mixed",NA
-110.349183,40.651607,0,3275,7.3273138999939,231.481155395508,44,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-110.231912,40.650148,0,3203,3.33570718765259,106.419509887695,45,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-110.113574,40.649329,0,3052,4.64545488357544,189.180541992188,46,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.640613,40.644698,1,2189,1.09677934646606,139.004165649414,47,1216,"674445","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,707,900,37,61,56,45,31,56,26,18,308,171,2822,5,11,"mixed",NA,"707","37","61","56","45","31","56","26","18","308","171","2822","5","11","mixed",NA
-109.463299,40.642502,0,2306,8.39357280731201,188.367416381836,48,716,"674431","Mollisols","Ustolls","Calciustolls","Lithic Calciustolls","Ust","Cal",107,125,104,660,811,900,21,61,57,48,35,47,33,20,153,130,917,11,29,"mixed","calcareous","811","21","61","57","48","35","47","33","20","153","130","917","11","29","mixed","calcareous"
-109.404329,40.641702,1,1967,5.40799236297607,173.858367919922,49,716,"674431","Mollisols","Ustolls","Calciustolls","Lithic Calciustolls","Ust","Cal",107,125,104,660,811,900,21,61,57,48,35,47,33,20,153,130,917,11,29,"mixed","calcareous","811","21","61","57","48","35","47","33","20","153","130","917","11","29","mixed","calcareous"
-109.108656,40.637219,0,2192,3.48876261711121,238.034973144531,50,713,"674438","Mollisols","Ustolls","Argiustolls","Calcidic Argiustolls","Ust","Arg",107,125,103,660,787,900,15,79,76,65,46,50,30,20,200,144,2822,17,44,"not used",NA,"787","15","79","76","65","46","50","30","20","200","144","2822","17","44","not used",NA
-108.104489,40.616396,0,1904,1.22389137744904,357.101409912109,51,704,"659487","Aridisols","Argids","Haplargids","Ustic Haplargids","Arg","Hap",103,104,120,660,737,900,1,95,89,61,29,72,15,13,57,145,2822,10,42,"mixed",NA,"737","1","95","89","61","29","72","15","13","57","145","2822","10","42","mixed",NA
-110.7059,40.60759,0,2717,11.7743740081787,258.034881591797,52,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-110.646115,40.607116,0,3292,6.5097713470459,18.7780323028564,53,456,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-110.291724,40.605612,0,3162,4.62470006942749,180.286956787109,54,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.936958,40.602815,0,2236,8.85229396820068,56.8886566162109,55,1216,"674445","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,707,900,37,61,56,45,31,56,26,18,308,171,2822,5,11,"mixed",NA,"707","37","61","56","45","31","56","26","18","308","171","2822","5","11","mixed",NA
-109.523273,40.598305,1,1910,2.34444212913513,104.127914428711,56,716,"674431","Mollisols","Ustolls","Calciustolls","Lithic Calciustolls","Ust","Cal",107,125,104,660,811,900,21,61,57,48,35,47,33,20,153,130,917,11,29,"mixed","calcareous","811","21","61","57","48","35","47","33","20","153","130","917","11","29","mixed","calcareous"
-109.16869,40.59311,1,2021,7.36392545700073,192.860000610352,57,714,"674434","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","Cal","Hap",103,105,120,660,843,960,10,79,75,64,47,43,33,23,95,131,917,11,34,"mixed","calcareous","843","10","79","75","64","47","43","33","23","95","131","917","11","34","mixed","calcareous"
-108.932777,40.589173,1,2348,4.78915643692017,193.991439819336,58,709,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-108.696655,40.584389,0,2154,4.53211641311646,14.6044473648071,59,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
-108.578521,40.582287,1,1987,2.82425045967102,96.4441146850586,60,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
-108.165416,40.5729,0,1887,3.12915277481079,109.330123901367,61,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
-108.047523,40.569827,1,1855,0.559007108211517,138.366455078125,62,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
